"x1","r_true","r_LL","r_KLR"
-3.5,2.02323104340574,0.817777127982365,1.28924455179502
-3.4825,1.97270261033647,0.818861196097817,1.27814159247968
-3.465,1.91891747450943,0.819946701284128,1.2659115360717
-3.4475,1.86236004057946,0.821033645446318,1.25252398492556
-3.43,1.8035181199627,0.822122030491933,1.23795587738791
-3.4125,1.74287549149592,0.823211858331049,1.22219294196668
-3.395,1.68090505262451,0.824303130876273,1.20523104380481
-3.3775,1.61806268910428,0.825395850042748,1.18707736786499
-3.36,1.55478195831063,0.826490017748154,1.16775138529347
-3.3425,1.49146964785577,0.827585635912716,1.14728555431009
-3.325,1.4285022388109,0.828682706459202,1.12572571468669
-3.3075,1.36622327269848,0.829781231312931,1.10313114524344
-3.29,1.30494159458504,0.830881212401772,1.0795742664105
-3.2725,1.24493042180935,0.831982651656151,1.0551399841681
-3.255,1.18642716957987,0.833085551009054,1.02992468681526
-3.2375,1.12963395104727,0.834189912396027,1.00403492113299
-3.22,1.07471866043823,0.835295737755183,0.977585788662437
-3.2025,1.02181654315098,0.836403029027205,0.950699115103296
-3.185,0.971032155928707,0.837511788155347,0.923501455459387
-3.1675,0.922441622796125,0.838622017085441,0.896122003907476
-3.15,0.876095097755407,0.839733717765896,0.868690480073309
-3.1325,0.83201935265241,0.840846892147707,0.841335062369468
-3.115,0.79022041752072,0.841961542184452,0.814180434461308
-3.0975,0.750686210507183,0.843077669832301,0.787346003211614
-3.08,0.713389104660842,0.844195277050016,0.760944336248362
-3.0625,0.678288388986797,0.845314365798956,0.735079855378476
-3.045,0.645332590870617,0.84643493804308,0.709847809277322
-3.0275,0.614461635995448,0.847556995748951,0.685333536050792
-3.01,0.585608830011528,0.848680540885738,0.661612014151852
-2.9925,0.558702653358474,0.849805575425221,0.638747689363747
-2.975,0.533668366730052,0.850932101341794,0.616794556600521
-2.9575,0.510429429707632,0.852060120612467,0.595796468404799
-2.94,0.488908739112055,0.853189635216872,0.575787637349152
-2.9225,0.469029696704791,0.854320647137266,0.5567932970158
-2.905,0.450717118099582,0.855453158358532,0.538830485657572
-2.8875,0.43389799622872,0.856587170868184,0.521908917751447
-2.87,0.418502133552399,0.857722686656374,0.506031911109403
-2.8525,0.404462657512812,0.858859707715887,0.491197340651322
-2.835,0.391716433619393,0.859998236042155,0.477398594019944
-2.8175,0.380204390102203,0.861138273633252,0.46462550860776
-2.8,0.369871767370793,0.8622798224899,0.452865273995368
-2.7825,0.360668304638915,0.863422884615477,0.442103288049655
-2.765,0.352548375082241,0.864567462016013,0.432323958835035
-2.7475,0.345471079836908,0.865713556700199,0.423511447942263
-2.73,0.339400310060298,0.866861170679388,0.415650353776084
-2.7125,0.334304785191858,0.8680103059676,0.408726335744514
-2.695,0.330158074491565,0.869160964581526,0.402726682167918
-2.6775,0.326938607910595,0.870313148540526,0.397640826108163
-2.66,0.324629681369569,0.871466859866643,0.393460814251245
-2.6425,0.323219460586306,0.872622100584595,0.390181734513359
-2.625,0.322700986704444,0.873778872721787,0.387802108232012
-2.6075,0.323072186120544,0.874937178308311,0.386324252698705
-2.59,0.324335886081414,0.876097019376951,0.385754619428573
-2.5725,0.326499836814723,0.877258397963184,0.386104112976714
-2.555,0.329576740152363,0.878421316105186,0.387388394321769
-2.5375,0.333584283794744,0.879585775843835,0.389628171855319
-2.52,0.338545179532612,0.880751779222715,0.392849481841355
-2.5025,0.344487202878584,0.881919328288117,0.397083958835121
-2.485,0.351443230652627,0.883088425089048,0.402369094959408
-2.4675,0.359451272104816,0.884259071677229,0.40874848510797
-2.45,0.368554488138548,0.885431270107099,0.416272053057498
-2.4325,0.378801192115084,0.886605022435825,0.424996251098532
-2.415,0.390244824577589,0.887780330723297,0.434984223126211
-2.3975,0.402943893037183,0.888957197032138,0.446305918156189
-2.38,0.416961866729347,0.890135623427704,0.459038137960341
-2.3625,0.43236701499892,0.89131561197809,0.473264498984068
-2.345,0.449232176738165,0.892497164754131,0.489075284978622
-2.3275,0.46763444712788,0.893680283829409,0.506567162963885
-2.31,0.487654766871364,0.894864971280254,0.525842731388573
-2.2925,0.509377398232889,0.896051229185746,0.54700986589282
-2.275,0.53288927157732,0.897239059627727,0.570180825190334
-2.2575,0.55827918584957,0.898428464690792,0.595471077633408
-2.24,0.585636846638026,0.899619446462304,0.622997808440459
-2.2225,0.61505172625094,0.900812007032391,0.652878068855059
-2.205,0.646611731722049,0.902006148493953,0.685226532225597
-2.1875,0.680401668976482,0.903201872942663,0.720152828726233
-2.17,0.716501494650922,0.904399182476974,0.757758440749296
-2.1525,0.754984351381607,0.905598079198118,0.798133155375635
-2.135,0.795914387836722,0.906798565210115,0.841351089116606
-2.1175,0.839344371429543,0.908000642619773,0.887466323428354
-2.1,0.885313109513921,0.909204313536693,0.936508217106359
-2.0825,0.933842703884517,0.910409580073272,0.988476492936994
-2.065,0.984935673460531,0.911616444344709,1.04333622976839
-2.0475,1.03857199092127,0.912824908469005,1.10101292577145
-2.03,1.09470609049159,0.914034974566969,1.16138783182822
-2.0125,1.15326391565622,0.915246644762223,1.22429378294451
-1.995,1.21414008682853,0.916459921181203,1.28951177718098
-1.9775,1.27719527933795,0.917674805953163,1.35676856251854
-1.96,1.34225391088048,0.91889130121018,1.42573548912325
-1.9425,1.40910224409874,0.92010940908716,1.49602886494347
-1.925,1.47748701349915,0.921329131721834,1.56721201462611
-1.9075,1.54711468577467,0.922550471254772,1.638799184806
-1.89,1.61765145814833,0.923773429829379,1.71026136392357
-1.8725,1.6887240900732,0.924998009591901,1.7810339946646
