"x1","r_true","r_LL","r_KLR"
-3.5,1.04594830204791,0.826074184667014,0.957286563533956
-3.4825,1.04003812537865,0.826870778585867,0.954622242767937
-3.465,1.0335534362039,0.82766814067044,0.951436664266967
-3.4475,1.02652558391765,0.828466271661487,0.947700373690662
-3.43,1.01898783613166,0.829265172300472,0.943388346403696
-3.4125,1.0109751222203,0.830064843329578,0.938480630911822
-3.395,1.00252377190335,0.830865285491702,0.932962925258803
-3.3775,0.993671252097525,0.831666499530457,0.926827068000834
-3.36,0.984455905152618,0.832468486190174,0.920071427095093
-3.3425,0.974916691423654,0.833271246215901,0.912701172554436
-3.325,0.965092938922263,0.834074780353404,0.904728421957385
-3.3075,0.95502410254559,0.83487908934917,0.896172251739929
-3.29,0.944749535106594,0.835684173950405,0.887058571467397
-3.2725,0.934308272093139,0.836490034905034,0.877419862791239
-3.255,0.923738831772491,0.837296672961705,0.867294789315041
-3.2375,0.91307903193981,0.838104088869788,0.856727687899037
-3.22,0.902365824291191,0.838912283379375,0.845767955803611
-3.2025,0.891635147089896,0.83972125724128,0.834469351316472
-3.185,0.880921796494602,0.840531011207045,0.822889227970206
-3.1675,0.870259316635413,0.841341546028932,0.811087724030466
-3.15,0.859679908261438,0.842152862459931,0.799126929569394
-3.1325,0.84921435554592,0.842964961253758,0.78707005313994
-3.115,0.838891970423705,0.843777843164855,0.7749806088946
-3.0975,0.828740553652669,0.844591508948394,0.762921643053836
-3.08,0.818786371636413,0.84540595936027,0.750955016069026
-3.0625,0.809054147919918,0.846221195157113,0.739140753810741
-3.045,0.799567068172419,0.847037217096278,0.727536477825245
-3.0275,0.790346797401127,0.847854025935853,0.716196921319118
-3.01,0.781413508094077,0.848671622434656,0.705173534219131
-2.9925,0.772785917968091,0.849490007352236,0.694514177556662
-2.975,0.764481335996476,0.850309181448877,0.684262904658047
-2.9575,0.756515715408002,0.851129145485593,0.674459824268808
-2.94,0.748903712381427,0.851949900224134,0.665141038852072
-2.9225,0.741658749205732,0.852771446426984,0.656338649900253
-2.905,0.734793080732788,0.853593784857362,0.648080821177382
-2.8875,0.72831786301394,0.854416916279223,0.640391890338139
-2.87,0.722243223082711,0.85524084145726,0.633292519301588
-2.8525,0.71657832892044,0.8560655611569,0.62679987403516
-2.835,0.711331458718229,0.856891076144312,0.620927824962291
-2.8175,0.706510068625617,0.857717387186401,0.615687159979594
-2.8,0.702120858252298,0.858544495050815,0.611085802991569
-2.7825,0.698169833263082,0.859372400505937,0.607129031883517
-2.765,0.69466236447703,0.860201104320896,0.603819690903983
-2.7475,0.69160324294877,0.86103060726556,0.601158393471051
-2.73,0.688996730572828,0.86186091011054,0.5991437124169
-2.7125,0.686846605810318,0.862692013627191,0.597772355612395
-2.695,0.685156204191262,0.863523918587609,0.597039325748297
-2.6775,0.683928453295419,0.864356625764638,0.596938063777264
-2.66,0.683165901959998,0.865190135931865,0.597460576133234
-2.6425,0.682870743504396,0.866024449863625,0.598597546339546
-2.625,0.683044832800617,0.866859568334997,0.600338431994743
-2.6075,0.683689697053988,0.867695492121809,0.602671548391815
-2.59,0.684806540192713,0.868532222000638,0.605584140189941
-2.5725,0.686396240797579,0.869369758748808,0.609062442629404
-2.555,0.68845934353537,0.870208103144394,0.613091733773475
-2.5375,0.690996044092216,0.87104725596622,0.617656379191112
-2.52,0.694006167636794,0.871887217993862,0.622739870378813
-2.5025,0.697489140879031,0.872727990007648,0.62832485807634
-2.485,0.701443957828243,0.873569572788658,0.634393181479081
-2.4675,0.705869139396443,0.874411967118725,0.640925894207155
-2.45,0.710762687038265,0.875255173780436,0.647903287776013
-2.4325,0.716122030669311,0.876099193557133,0.65530491324045
-2.415,0.721943971160129,0.876944027232913,0.663109601666272
-2.3975,0.728224617763716,0.877789675592629,0.671295484128887
-2.38,0.734959320900701,0.878636139421892,0.679840012049773
-2.3625,0.742142600798114,0.87948341950707,0.688719978856839
-2.345,0.749768072554654,0.880331516635287,0.697911544184217
-2.3275,0.757828368287298,0.881180431594431,0.707390262095474
-2.31,0.766315057100216,0.882030165173144,0.717131115099626
-2.2925,0.775218563706337,0.882880718160833,0.72710855600451
-2.275,0.784528086623449,0.883732091347665,0.737296559885077
-2.2575,0.79423151695885,0.884584285524567,0.747668688600649
-2.24,0.804315358887618,0.885437301483231,0.758198170340524
-2.2225,0.814764653017497,0.886291140016112,0.768857996578138
-2.205,0.825562903915948,0.887145801916428,0.779621038541769
-2.1875,0.836692013149502,0.888001287978163,0.790460184843741
-2.17,0.848132219249624,0.888857598996068,0.801348501238544
-2.1525,0.859862046069747,0.889714735765656,0.812259412603912
-2.135,0.871858261032277,0.890572699083213,0.823166906173646
-2.1175,0.884095844778916,0.891431489745787,0.834045753824992
-2.1,0.896547973729966,0.892291108551199,0.844871749883464
-2.0825,0.9091860170253,0.893151556298037,0.855621959511258
-2.065,0.921979549259098,0.894012833785661,0.866274971363726
-2.0475,0.934896380329951,0.894874941814199,0.876811146910195
-2.03,0.947902603605842,0.895737881184554,0.88721285770318
-2.0125,0.960962663448815,0.896601652698398,0.897464701025796
-1.995,0.974039442956185,0.897466257158179,0.907553683825179
-1.9775,0.987094372554595,0.898331695367116,0.917469364710961
-1.96,1.000087559831,0.899197968129205,0.927203944107735
-1.9425,1.01297794070328,0.900065076249216,0.936752293420367
-1.925,1.02572345172537,0.900933020532696,0.946111915300295
-1.9075,1.03828122299246,0.901801801785966,0.95528282876347
-1.89,1.05060779076483,0.90267142081613,0.964267374958053
-1.8725,1.06265932857203,0.903541878431064,0.973069941744055
