"x1","r_true","r_LL","r_DR"
-3.5,0.845631205003316,0.810688796942904,0.476292069132993
-3.4825,0.846477693093237,0.811737286610605,0.479550895311105
-3.465,0.847326793154215,0.812787132323422,0.482818083561232
-3.4475,0.848178538688549,0.81383833583517,0.486093502081166
-3.43,0.849032963687095,0.814890898901935,0.489377017466412
-3.4125,0.849890102634235,0.815944823282073,0.492668494714804
-3.395,0.850749990512804,0.817000110736212,0.495967797231374
-3.3775,0.851612662808975,0.818056763027261,0.499274786833489
-3.36,0.852478155517099,0.819114781920407,0.502589323756246
-3.3425,0.853346505144501,0.82017416918312,0.505911266658136
-3.325,0.854217748716208,0.821234926585154,0.509240472626966
-3.3075,0.855091923779629,0.822297055898557,0.512576797186049
-3.29,0.85596906840916,0.823360558897663,0.515920094300664
-3.2725,0.856849221210725,0.824425437359105,0.519270216384775
-3.255,0.857732421326239,0.825491693061812,0.522627014308019
-3.2375,0.858618708437981,0.826559327787014,0.525990337402966
-3.22,0.859508122772892,0.827628343318245,0.529360033472644
-3.2025,0.860400705106766,0.828698741441344,0.532735948798325
-3.185,0.861296496768349,0.829770523944463,0.536117928147595
-3.1675,0.862195539643321,0.830843692618065,0.53950581478268
-3.15,0.863097876178175,0.831918249254927,0.542899450469045
-3.1325,0.864003549383965,0.832994195650147,0.546298675484263
-3.115,0.864912602839929,0.834071533601143,0.549703328627156
-3.0975,0.865825080696977,0.83515026490766,0.553113247227199
-3.08,0.866741027681029,0.836230391371767,0.5565282671542
-3.0625,0.867660489096213,0.837311914797868,0.559948222828249
-3.045,0.868583510827889,0.838394836992697,0.563372947229929
-3.0275,0.869510139345511,0.839479159765326,0.566802271910807
-3.01,0.870440421705317,0.840564884927168,0.570236027004192
-2.9925,0.871374405552822,0.841652014291978,0.57367404123615
-2.975,0.872312139125124,0.842740549675855,0.577116141936807
-2.9575,0.873253671253006,0.843830492897249,0.580562155051904
-2.94,0.874199051362813,0.844921845776961,0.584011905154632
-2.9225,0.87514832947812,0.846014610138147,0.587465215457723
-2.905,0.876101556221156,0.847108787806321,0.590921907825819
-2.8875,0.877058782813986,0.848204380609359,0.594381802788101
-2.87,0.878020061079439,0.849301390377498,0.597844719551184
-2.8525,0.878985443441767,0.850399818943346,0.60131047601228
-2.835,0.879954982927031,0.851499668141879,0.604778888772624
-2.8175,0.880928733163198,0.852600939810446,0.60824977315116
-2.8,0.881906748379932,0.853703635788773,0.611722943198499
-2.7825,0.882889083408078,0.854807757918965,0.615198211711125
-2.765,0.883875793678828,0.85591330804551,0.618675390245879
-2.7475,0.884866935222535,0.857020288015281,0.622154289134684
-2.73,0.885862564667192,0.85812869967754,0.625634717499544
-2.7125,0.886862739236542,0.85923854488394,0.629116483267793
-2.695,0.887867516747817,0.860349825488531,0.632599393187602
-2.6775,0.888876955609084,0.861462543347757,0.636083252843741
-2.66,0.889891114816195,0.862576700320467,0.639567866673592
-2.6425,0.890910053949313,0.863692298267911,0.643053037983422
-2.625,0.89193383316902,0.864809339053749,0.6465385689649
-2.6075,0.89296251321197,0.865927824544049,0.650024260711864
-2.59,0.893996155386091,0.867047756607294,0.653509913237336
-2.5725,0.895034821565311,0.868169137114381,0.65699532549079
-2.555,0.896078574183797,0.869291967938631,0.660480295375653
-2.5375,0.897127476229693,0.870416250955784,0.663964619767059
-2.52,0.898181591238338,0.871541988044008,0.667448094529839
-2.5025,0.899240983284952,0.872669181083899,0.670930514536746
-2.485,0.900305716976778,0.873797831958487,0.674411673686932
-2.4675,0.901375857444649,0.874927942553234,0.677891364924644
-2.45,0.902451470333991,0.876059514756044,0.68136938025816
-2.4325,0.903532621795215,0.877192550457261,0.684845510778959
-2.415,0.904619378473512,0.878327051549674,0.688319546681115
-2.3975,0.90571180749801,0.879463019928521,0.691791277280922
-2.38,0.906809976470296,0.880600457491489,0.695260491036742
-2.3625,0.907913953452273,0.881739366138721,0.698726975569074
-2.345,0.909023806953348,0.882879747772818,0.702190517680843
-2.3275,0.910139605916927,0.884021604298841,0.705650903377912
-2.31,0.911261419706198,0.885164937624313,0.709107917889801
-2.2925,0.912389318089202,0.886309749659227,0.712561345690624
-2.275,0.913523371223157,0.887456042316045,0.716010970520234
-2.2575,0.914663649638034,0.888603817509703,0.719456575405577
-2.24,0.915810224219358,0.889753077157613,0.722897942682247
-2.2225,0.916963166190228,0.890903823179666,0.72633485401625
-2.205,0.918122547092541,0.892056057498238,0.729767090425957
-2.1875,0.919288438767389,0.89320978203819,0.733194432304263
-2.17,0.920460913334642,0.894364998726872,0.73661665944093
-2.1525,0.921640043171679,0.89552170949413,0.740033551045136
-2.135,0.922825900891258,0.896679916272301,0.743444885768186
-2.1175,0.924018559318527,0.897839620996224,0.746850441726435
-2.1,0.925218091467138,0.899000825603241,0.750249996524376
-2.0825,0.926424570514474,0.900163532033199,0.753643327277906
-2.065,0.927638069775958,0.901327742228452,0.757030210637772
-2.0475,0.928858662678454,0.902493458133867,0.76041042281319
-2.03,0.930086422732721,0.90366068169683,0.763783739595626
-2.0125,0.931321423504936,0.90482941486724,0.767149936382748
-1.995,0.932563738587263,0.905999659597521,0.770508788202535
-1.9775,0.933813441567455,0.907171417842621,0.773860069737543
-1.96,0.935070605997499,0.908344691560019,0.777203555349335
-1.9425,0.936335305361271,0.909519482709722,0.78053901910305
-1.925,0.937607613041218,0.910695793254274,0.783866234792127
-1.9075,0.938887602284048,0.911873625158757,0.78718497596317
-1.89,0.940175346165425,0.913052980390794,0.790495015940953
-1.8725,0.941470917553672,0.914233860920552,0.793796127853567
-1.855,0.94277438907247,0.91541626872075,0.797088084657683
-1.8375,0.944085833062561,0.916600205766652,0.800370659163968
-1.82,0.945405321542448,0.917785674036083,0.803643624062611
-1.8025,0.946732926168095,0.918972675509423,0.806906751948962
-1.785,0.948068718191634,0.920161212169612,0.810159815349314
-1.7675,0.949412768419074,0.921351286002157,0.813402586746772
-1.75,0.950765147167027,0.922542898995132,0.816634838607246
-1.7325,0.952125924218452,0.923736053139182,0.819856343405543
-1.715,0.953495168777426,0.924930750427527,0.823066873651565
-1.6975,0.954872949422951,0.926126992855965,0.826266201916598
-1.68,0.956259334061814,0.927324782422875,0.829454100859698
-1.6625,0.957654389880507,0.92852412112922,0.832630343254163
-1.645,0.959058183296225,0.92972501097855,0.835794702014093
-1.6275,0.960470779906962,0.930927453977011,0.838946950221028
-1.61,0.961892244440714,0.932131452133338,0.842086861150654
-1.5925,0.963322640703824,0.933337007458867,0.845214208299597
-1.575,0.964762031528478,0.934544121967534,0.848328765412271
-1.5575,0.966210478719389,0.935752797675881,0.851430306507794
-1.54,0.967668042999682,0.936963036603057,0.854518605906956
-1.5225,0.969134783956025,0.938174840770822,0.857593438259252
-1.505,0.970610759983024,0.939388212203553,0.860654578569956
-1.4875,0.972096028226922,0.940603152928243,0.863701802227242
-1.47,0.973590644528639,0.941819664974507,0.866734885029346
-1.4525,0.975094663366179,0.943037750374585,0.869753603211761
-1.435,0.976608137796464,0.944257411163348,0.87275773347447
-1.4175,0.978131119396622,0.945478649378293,0.8757470530092
-1.4,0.979663658204772,0.946701467059558,0.878721339526696
-1.3825,0.981205802660375,0.947925866249916,0.881680371284024
-1.365,0.982757599544164,0.949151848994784,0.88462392711187
-1.3475,0.984319093917749,0.950379417342223,0.887551786441863
-1.33,0.985890329062908,0.951608573342944,0.890463729333892
-1.3125,0.987471346420653,0.952839319050308,0.893359536503427
-1.295,0.989062185530115,0.954071656520335,0.896238989348825
-1.2775,0.990662883967309,0.955305587811701,0.899101869978641
-1.26,0.99227347728385,0.956541114985747,0.90194796123891
-1.2425,0.993893998945678,0.957778240106479,0.904777046740415
-1.225,0.995524480271864,0.959016965240572,0.907588910885927
-1.2075,0.997164950373572,0.960257292457374,0.910383338897421
-1.19,0.998815436093238,0.96149922382891,0.91316011684325
-1.1725,1.00047596194405,0.962742761429885,0.915919031665289
-1.155,1.0021465500498,0.963987907337686,0.918659871206023
-1.1375,1.00382722008521,0.965234663632387,0.9213824242356
-1.12,1.00551798921673,0.966483032396754,0.924086480478819
-1.1025,1.00721887204404,0.967733015716244,0.926771830642065
-1.085,1.00892988054219,0.968984615679014,0.929438266440184
-1.0675,1.01065102400455,0.97023783437592,0.932085580623283
-1.05,1.01238230898659,0.971492673900522,0.934713567003455
-1.0325,1.01412373925072,0.972749136349088,0.937322020481446
-1.015,1.01587531571203,0.974007223820598,0.939910737073211
-0.9975,1.01763703638535,0.975266938416745,0.94247951393641
-0.98,1.01940889633336,0.976528282241942,0.945028149396786
-0.9625,1.02119088761617,0.977791257403323,0.947556442974471
-0.945,1.02298299924225,0.979055866010747,0.950064195410175
-0.9275,1.02478521712086,0.980322110176801,0.952551208691273
-0.91,1.02659752401611,0.981589992016806,0.95501728607778
-0.8925,1.02841989950275,0.982859513648817,0.957462232128213
-0.875,1.03025231992364,0.984130677193631,0.959885852725329
-0.8575,1.03209475834927,0.985403484774785,0.962287955101739
-0.84,1.03394718453909,0.986677938518563,0.964668347865394
-0.8225,1.03580956490507,0.987954040554001,0.967026841024934
-0.805,1.03768186247725,0.989231793012886,0.969363246014897
-0.7875,1.03956403687171,0.990511198029764,0.971677375720784
-0.77,1.04145604426077,0.99179225774194,0.97396904450398
-0.7525,1.04335783734566,0.993074974289486,0.976238068226516
-0.735,1.0452693653317,0.994359349815238,0.978484264275673
-0.7175,1.04719057390607,0.995645386464807,0.980707451588429
-0.7,1.04912140521827,0.996933086386576,0.982907450675734
-0.6825,1.05106179786334,0.998222451731709,0.985084083646611
-0.665,1.05301168686786,0.999513484654151,0.987237174232093
