"x1","r_true","r_LL","r_DR"
-3.5,0.864427561920504,0.796347391125406,0.0763567199046711
-3.4825,0.865618742307946,0.799142514084107,0.0785259275619806
-3.465,0.866818784993647,0.80194744772649,0.0807421598891899
-3.4475,0.868027834206096,0.804762226487358,0.0830059528422212
-3.43,0.869246036526633,0.807586884922381,0.085317832345303
-3.4125,0.87047354092211,0.810421457708515,0.087678313623526
-3.395,0.871710498777794,0.813265979644431,0.0900879005252569
-3.3775,0.87295706393048,0.81612048565094,0.0925470848349394
-3.36,0.874213392701824,0.818985010771423,0.0950563455768482
-3.3425,0.875479643931876,0.821859590172261,0.0976161483104041
-3.325,0.87675597901281,0.824744259143265,0.1002269444177
-3.3075,0.878042561922831,0.827639053098113,0.102889170383926
-3.29,0.879339559260262,0.830544007574782,0.105603247071432
-3.2725,0.880647140277784,0.833459158235982,0.108369578988193
-3.255,0.881965476916829,0.836384540869601,0.11118855355151
-3.2375,0.883294743842106,0.839320191389136,0.114060540347804
-3.22,0.884635118476247,0.842266145834141,0.116985890389403
-3.2025,0.885986781034564,0.845222440370663,0.119964935369285
-3.185,0.887349914559892,0.848189111291694,0.122997986914774
-3.1675,0.888724704957515,0.851166195017606,0.126085335841214
-3.15,0.890111341030138,0.854153728096609,0.129227251406725
-3.1325,0.891510014512919,0.857151747205191,0.132423980569164
-3.115,0.892920920108502,0.860160289148575,0.135675747246453
-3.0975,0.894344255522072,0.863179390861164,0.138982751581509
-3.08,0.895780221496379,0.866209089407002,0.142345169213023
-3.0625,0.897229021846733,0.869249421980222,0.145763150553392
-3.045,0.898690863495931,0.872300425905508,0.149236820075148
-3.0275,0.900165956509106,0.875362138638551,0.152766275607263
-3.01,0.901654514128463,0.878434597766507,0.156351587642758
-2.9925,0.903156752807882,0.881517841008461,0.159992798659071
-2.975,0.904672892247367,0.88461190621589,0.163689922452668
-2.9575,0.906203155427295,0.887716831373127,0.167442943489458
-2.94,0.907747768642459,0.890832654597826,0.171251816272534
-2.9225,0.909306961535863,0.893959414141432,0.175116464728867
-2.905,0.910880967132232,0.897097148389652,0.179036781616553
-2.8875,0.91247002187122,0.90024589586292,0.183012627954274
-2.87,0.914074365640271,0.903405695216877,0.187043832474634
-2.8525,0.9156942418071,0.906576585242842,0.191130191103071
-2.835,0.917329897251757,0.909758604868288,0.195271466464054
-2.8175,0.918981582398244,0.912951793157321,0.199467387416283
-2.8,0.920649551245633,0.91615618931116,0.203717648618645
-2.7825,0.922334061398653,0.919371832668617,0.208021910128659
-2.765,0.9240353740977,0.92259876270658,0.212379797035165
-2.7475,0.925753754248231,0.925837019040498,0.216790899127023
-2.73,0.927489470449491,0.929086641424869,0.221254770599547
-2.7125,0.929242795022527,0.932347669753724,0.225770929800445
-2.695,0.931014004037443,0.935620144061121,0.230338859016983
-2.6775,0.932803377339847,0.938904104521635,0.234958004306096
-2.66,0.934611198576429,0.942199591450849,0.239627775369143
-2.6425,0.936437755219632,0.945506645305853,0.244347545472982
-2.625,0.938283338591343,0.948825306685738,0.24911665141902
-2.6075,0.94014824388556,0.952155616332093,0.253934393561829
-2.59,0.942032770189967,0.955497615129509,0.258800035878926
-2.5725,0.943937220506368,0.95885134410608,0.263712806093225
-2.555,0.945861901769898,0.962216844433902,0.26867189584966
-2.5375,0.947807124866967,0.965594157429586,0.273676460947391
-2.52,0.949773204651856,0.968983324554759,0.278725621628969
-2.5025,0.951760459961904,0.972384387416577,0.283818462927749
-2.485,0.953769213631207,0.975797387768233,0.288954035074797
-2.4675,0.955799792502772,0.979222367509471,0.294131353966432
-2.45,0.957852527439031,0.9826593686871,0.299349401693483
-2.4325,0.959927753330654,0.986108433495512,0.304607127133238
-2.415,0.962025809103573,0.989569604277195,0.309903446604984
-2.3975,0.964147037724148,0.993042923523259,0.315237244589932
-2.38,0.966291786202373,0.996528433873953,0.320607374516207
