"Lambda","pval_D","pval_V"
0.1,0.01,0.01
0.2,0.01,0.01
0.3,0.01,0.01
0.4,0.01,0.01
0.5,0.01,0.01
0.6,0.01,0.01
0.7,0.01,0.01
0.8,0.01,0.01
0.9,0.01,0.01
1,0.01,0.01
1.1,0.01,0.01
1.2,0.01,0.01
1.3,0.01,0.01
1.4,0.02,0.02
1.5,0.05,0.05
1.6,0.03,0.03
1.7,0.14,0.11
1.8,0.2,0.18
1.9,0.16,0.26
2,0.35,0.26
2.1,0.41,0.5
2.2,0.49,0.6
2.3,0.69,0.77
2.4,0.95,0.92
2.5,1,1
2.6,0.83,0.9
2.7,0.85,0.88
2.8,0.74,0.75
2.9,0.53,0.61
3,0.44,0.48
3.1,0.46,0.45
3.2,0.35,0.32
3.3,0.18,0.36
3.4,0.17,0.24
3.5,0.18,0.14
3.6,0.11,0.16
3.7,0.15,0.14
3.8,0.14,0.13
3.9,0.07,0.07
4,0.07,0.06
4.1,0.02,0.06
4.2,0.05,0.05
4.3,0.03,0.03
4.4,0.02,0.03
4.5,0.02,0.06
4.6,0.01,0.01
4.7,0.01,0.01
4.8,0.01,0.01
4.9,0.01,0.01
5,0.02,0.01
5.1,0.01,0.01
5.2,0.01,0.01
5.3,0.01,0.02
5.4,0.01,0.01
5.5,0.01,0.01
5.6,0.01,0.01
5.7,0.01,0.01
5.8,0.01,0.01
5.9,0.01,0.01
6,0.01,0.01
6.1,0.01,0.02
6.2,0.01,0.01
6.3,0.01,0.01
6.4,0.01,0.01
6.5,0.01,0.01
6.6,0.01,0.01
6.7,0.01,0.01
6.8,0.01,0.01
6.9,0.01,0.01
7,0.01,0.01
